Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Canadian Maritime Engineering Limited,Advanced Manufacturing,POINT (-60.250051 46.207792),"756,473",North Sydney,Cape Breton,B2A1B5,2018 - 2019,-60.250051,46.207792
Maritime Labels & Packaging,Advanced Manufacturing,POINT (-63.707864 44.725286),"540,335",Bedford,Halifax Regional Municipality,B4B1G7,2018 - 2019,-63.707864,44.725286
Kohltech International Ltd,Advanced Manufacturing,POINT (-63.531392 45.468637),"843,388",Debert,Colchester,B0M1G0,2018 - 2019,-63.531392,45.468637
Agropur Cooperative,Agri-food,POINT (-63.28926512 45.34069389),"1,843,776",Truro,Colchester,B2N6W9,2018 - 2019,-63.28926512,45.34069389
Scotian Gold Cooperative Ltd,Agri-food,POINT (-64.5855291 45.0650474),"477,333",Coldbrook,Kings,B4R1A6,2018 - 2019,-64.5855291,45.0650474
Oxford Frozen Foods Ltd,Agri-food,POINT (-63.849946 45.810473),"702,205",Oxford,Cumberland,B0M1P0,2018 - 2019,-63.849946,45.810473
Michelin North America (Canada) Inc - Granton,Advanced Manufacturing,POINT (-62.639785 45.609213),"3,569,500",New Glasgow,Pictou,B2H5E6,2018 - 2019,-62.639785,45.609213
AF Theriault & Son Ltd.,Advanced Manufacturing,POINT (-66.119502 44.221552),"1,536,878",Meteghan River,Digby,B0W2L0,2018 - 2019,-66.119502,44.221552
Kilo Communications Inc,ICT (includes Digital Media),POINT (-63.592032 44.656647),"15,000",Halifax,Halifax Regional Municipality,B3K1N1,2018 - 2019,-63.592032,44.656647
The Lobster Trap Company Limited,Oceans Technology,POINT (-66.118319 43.842674),"25,000",Yarmouth,Yarmouth,B5A4B4,2018 - 2019,-66.118319,43.842674
Airesun Global Limited,Chemicals & Plastics,POINT (-59.991669 46.206353),"15,000",Glace Bay,Cape Breton,B1A4S6,2018 - 2019,-59.991669,46.206353
Photodynamic Incorporated,Life Sciences,POINT (-63.573789 44.624478),"25,000",Halifax,Halifax Regional Municipality,B3H1A8,2018 - 2019,-63.573789,44.624478
NeoThermal Energy Storage Inc,Energy,POINT (-64.523942 44.378324),"15,000",Bridgewater,Lunenburg,B4V1P4,2018 - 2019,-64.523942,44.378324
Scotia Garden Seafoods Inc,Fish & Seafood Processing,POINT (-66.121483 43.816747),"15,000",Yarmouth,Yarmouth,B5A4B1,2018 - 2019,-66.121483,43.816747
Axem Neurotechnology Inc.,Life Sciences,POINT (-63.572554 44.644489),"15,000",Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489
Nova Aquaponics Incorporated,Advanced Manufacturing,POINT (-63.667551 44.676453),"25,000",Halifax,Halifax Regional Municipality,B3M3Y8,2018 - 2019,-63.667551,44.676453
Louisbourg Seafoods Ltd,Fish & Seafood Processing,POINT (-59.97144562 45.91905461),"15,000",Louisbourg,Cape Breton,B1C1B5,2018 - 2019,-59.97144562,45.91905461
Aurea Technologies Inc,Energy,POINT (-63.740414 44.657359),"15,000",Glen Haven,Halifax Regional Municipality,B3Z2V7,2018 - 2019,-63.740414,44.657359
D.M.R. Boat Design Limited,Oceans Technology,POINT (-63.737267 44.507267),"15,000",Whites Lake,Halifax Regional Municipality,B3T1X3,2018 - 2019,-63.737267,44.507267
Cape Breton Bivalve Inc,Fish & Seafood Processing,POINT (-59.976684 45.918232),"15,000",Louisbourg,Cape Breton,B1C2L8,2018 - 2019,-59.976684,45.918232
Velsoft Training Materials Inc,ICT (includes Digital Media),POINT (-62.64523 45.587057),"15,000",New Glasgow,Pictou,B2H2P8,2018 - 2019,-62.64523,45.587057
F L Action/Reaction Sports,Advanced Manufacturing,POINT (-65.994395 43.749188),"25,000",Arcadia,Yarmouth,B0W1B0,2018 - 2019,-65.994395,43.749188
