Account Name,nsbi_sector,New Georeferenced Column,NSBI Financial Contribution (Commitment/Announced),Place Name,nsbi_county,PostalCode,fiscal year,Longitude,Latitude
Sainte-Famille Wines Ltd,Agri-food,POINT (-64.160143 44.997485),0,West Hants,Hants,B0P1L0,2018 - 2019,-64.160143,44.997485
Atlantic Resources Partnership Inc,Not Coded,POINT (-63.687758 44.705663),0,Bedford,Halifax Regional Municipality,B4A4H4,2018 - 2019,-63.687758,44.705663
Fisher King Seafoods Ltd,Fish & Seafood Processing,POINT (-63.65843038 44.7606098),0,Lower Sackville,Halifax Regional Municipality,B4C4E6,2018 - 2019,-63.65843038,44.7606098
Right Source Group Limited,Fish & Seafood Processing,POINT (-63.601486 44.713636),0,Dartmouth,Halifax Regional Municipality,B3B1N4,2018 - 2019,-63.601486,44.713636
Rio Import & Export Limited,Fish & Seafood Processing,POINT (-63.60125 44.716433),0,Dartmouth,Halifax Regional Municipality,B3B1W7,2018 - 2019,-63.60125,44.716433
Top Claw Lobster & Seafood Company,Fish & Seafood Processing,POINT (-65.650454 43.462969),0,Clarks Harbour,Shelburne,B0W1P0,2018 - 2019,-65.650454,43.462969
Hawboldt Industries (1989) Ltd,Oceans Technology,POINT (-64.225079 44.560562),0,Chester,Lunenburg,B0J1J0,2018 - 2019,-64.225079,44.560562
Ocean Technology Council of Nova Scotia (OTCNS),Not Coded,POINT (-63.57606155 44.65201157),0,Halifax,Halifax Regional Municipality,B3J3N2,2018 - 2019,-63.57606155,44.65201157
Taste of Nova Scotia Quality Food,Business Services,POINT (-63.569266 44.665864),0,Dartmouth,Halifax Regional Municipality,B2Y4P5,2018 - 2019,-63.569266,44.665864
Penny Doherty Literacy Consultants Incorporated,Business Services,POINT (-63.592084 44.643695),0,Halifax,Halifax Regional Municipality,B3H2J5,2018 - 2019,-63.592084,44.643695
Haskapa,Agri-food,POINT (-63.611768 44.703405),0,Dartmouth,Halifax Regional Municipality,B3B1M3,2018 - 2019,-63.611768,44.703405
Atlantica Mechanical Contractors Inc,Advanced Manufacturing,POINT (-63.606634 44.701133),0,Dartmouth,Halifax Regional Municipality,B3B1H5,2018 - 2019,-63.606634,44.701133
Biscay Seafoods Canada Ltd,Fish & Seafood Processing,POINT (-63.623858 44.653361),0,Halifax,Halifax Regional Municipality,B3L2C1,2018 - 2019,-63.623858,44.653361
Pearlmark Foods - NS Division,Not Coded,POINT (-64.165254 45.026806),0,Canning,Kings,B0P1H0,2018 - 2019,-64.165254,45.026806
Zeus Seafood Inc,Fish & Seafood Processing,POINT (-62.845748 44.7843),0,Lake Charlotte,Halifax Regional Municipality,B0J1Y0,2018 - 2019,-62.845748,44.7843
TriNav Fisheries Consultants Inc,Business Services,POINT (-63.592554 44.706327),0,Dartmouth,Halifax Regional Municipality,B3B1N3,2018 - 2019,-63.592554,44.706327
Realtime Aquaculture,Oceans Technology,POINT (-63.754376 44.700635),0,Hammonds Plains,Halifax Regional Municipality,B4B1L9,2018 - 2019,-63.754376,44.700635
Clearwater Fine Foods (Europe) Ltd,Fish & Seafood Processing,,0,,Not Applicable / Unknown,N/A,2018 - 2019,,
Bezanson & Chase Cranberry Co Ltd,Not Coded,POINT (-64.800737 45.066995),0,Aylesford,Kings,B0P1C0,2018 - 2019,-64.800737,45.066995
Kings Produce Processing Limited,Agri-food,POINT (-64.165254 45.026806),0,Canning,Kings,B0P1H0,2018 - 2019,-64.165254,45.026806
TAPROOT FARMS,Agri-food,POINT (-64.362715 45.159695),0,Port Williams,Kings,B0P1T0,2018 - 2019,-64.362715,45.159695
The Nova Agri Group,Advanced Manufacturing,POINT (-64.680474 45.195976),0,Centreville,Queens,B0P1J0,2018 - 2019,-64.680474,45.195976
Van Meekeren Farms Ltd,Agri-food,POINT (-64.547804 45.067163),0,Kentville,Kings,B4N3V7,2018 - 2019,-64.547804,45.067163
Addvocacy ADHD & Life Skills Coaching Ltd,ICT (includes Digital Media),POINT (-63.468074 44.606948),0,Eastern Passage,Halifax Regional Municipality,B3G1J1,2018 - 2019,-63.468074,44.606948
Clockk.Com Inc,ICT (includes Digital Media),POINT (-63.572554 44.644489),0,Halifax,Halifax Regional Municipality,B3J3K5,2018 - 2019,-63.572554,44.644489
Ethical Swag Inc,Business Services,POINT (-63.483946 44.690176),0,Dartmouth,Cape Breton,B2W6G2,2018 - 2019,-63.483946,44.690176
OnBook - Port Tack Media (10527602 Canada Inc),Not Coded,POINT (-63.73890326 44.65413118),0,Timberlea,Halifax Regional Municipality,B3T1E8,2018 - 2019,-63.73890326,44.65413118
Fishermen's Premium Atlantic Lobster Inc,Fish & Seafood Processing,POINT (-65.613993 43.490149),0,North East Point,Shelburne,B0W2P0,2018 - 2019,-65.613993,43.490149
Golden Alliance Canada Inc,Fish & Seafood Processing,POINT (-63.550996 44.679086),0,Dartmouth,Halifax Regional Municipality,B2Y3G8,2018 - 2019,-63.550996,44.679086
IMO Foods Limited,Fish & Seafood Processing,POINT (-66.120556 43.829792),0,Yarmouth,Yarmouth,B5A4B2,2018 - 2019,-66.120556,43.829792
West Fish Canada Limited,Fish & Seafood Processing,POINT (-63.561974 44.670912),0,Dartmouth,Halifax Regional Municipality,B2Y2X5,2018 - 2019,-63.561974,44.670912
Marwood Limited,Advanced Manufacturing,POINT (-63.097746 45.263092),0,Brookfield,Colchester,B0N1C0,2018 - 2019,-63.097746,45.263092
