ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
COM505,Granville Ferry,"Architecture, engineering, and related technologies",10,2011,0,0,88,20.5,99,10.2
COM506,Annapolis Royal,"Architecture, engineering, and related technologies",10,2011,0,0,96,15,105,7.5
COM507,Bear River First Nation (Bear River (6B)),"Architecture, engineering, and related technologies",10,2011,0,0,0,0,0,0
COM508,Bridgetown,"Architecture, engineering, and related technologies",10,2011,0,0,204,20.2,214,10
COM509,Port Lorne,"Architecture, engineering, and related technologies",10,2011,0,0,103,29.7,106,14.4
COM510,Lawrencetown,"Architecture, engineering, and related technologies",10,2011,0,0,86,12.1,96,6.7
COM511,Middleton,"Architecture, engineering, and related technologies",10,2011,30,1.6,341,21,373,10.8
COM512,Margaretsville,"Architecture, engineering, and related technologies",10,2011,0,0,136,26.2,138,13.9
COM601,Broad Cove,"Architecture, engineering, and related technologies",10,2011,0,0,53,25.5,56,13.1
COM602,Petite Riviere,"Architecture, engineering, and related technologies",10,2011,0,0,43,22.4,44,11.3
COM603,Italy Cross,"Architecture, engineering, and related technologies",10,2011,0,0,201,22.5,214,12.2
COM604,Chelsea,"Architecture, engineering, and related technologies",10,2011,0,0,115,30.8,119,16.5
COM605,Newcombville,"Architecture, engineering, and related technologies",10,2011,0,0,187,28.5,198,15.2
COM606,Hemford,"Architecture, engineering, and related technologies",10,2011,0,0,76,28.4,85,15.5
COM607,New Germany,"Architecture, engineering, and related technologies",10,2011,0,0,168,25.3,183,13.9
COM608,Northfield,"Architecture, engineering, and related technologies",10,2011,0,0,256,28.7,266,15.1
COM609,Bridgewater,"Architecture, engineering, and related technologies",10,2011,0,0,851,22.2,876,10.6
COM610,LaHave,"Architecture, engineering, and related technologies",10,2011,0,0,569,28.4,586,14.8
COM611,Lunenburg,"Architecture, engineering, and related technologies",10,2011,35,1.5,546,27.8,590,13.9
COM612,Maitland,"Architecture, engineering, and related technologies",10,2011,0,0,191,25.1,211,14
COM613,Mahone Bay,"Architecture, engineering, and related technologies",10,2011,0,0,270,24.3,287,12.1
COM614,New Cornwall,"Architecture, engineering, and related technologies",10,2011,0,0,110,26.1,115,13.7
COM615,Maplewood,"Architecture, engineering, and related technologies",10,2011,0,0,192,28.5,200,15.2
COM616,New Ross,"Architecture, engineering, and related technologies",10,2011,0,0,164,24.8,167,13.5
com617,Indian Brook First Nation (Pennal (19)),"Architecture, engineering, and related technologies",10,2011,0,0,0,0,0,0
COM618,Chester Basin,"Architecture, engineering, and related technologies",10,2011,0,0,289,31.6,303,17
