ComID,GeogName,DataGroup,DataGroup_Order,Year,Female - .,Female - %,Male - .,Male - %,Total - .,Total - %
MUN102,Town of Truro,Another province or territory,6,2011,515,9,475,9.8,995,9.4
MUN103,County of Colchester,Another province or territory,6,2011,"1,206",7.8,"1,266",8.6,"2,461",8.2
MUN11,Town of Clark's Harbour,Another province or territory,6,2011,0,0,0,0,0,0
MUN111,Town of Amherst,Another province or territory,6,2011,627,14.9,505,14.1,"1,132",14.6
MUN112,Town of Oxford,Another province or territory,6,2011,30,7,94,18.4,129,13.8
MUN113,Town of Parrsboro,Another province or territory,6,2011,59,8.8,99,21.5,153,13.5
MUN114,Town of Springhill,Another province or territory,6,2011,85,5.5,160,13.9,250,9.2
MUN115,County of Cumberland,Another province or territory,6,2011,761,11.2,754,11.3,"1,510",11.2
MUN12,Town of Lockeport,Another province or territory,6,2011,0,0,0,0,10,2.3
MUN121,Town of New Glasgow,Another province or territory,6,2011,303,7.2,301,8.4,604,7.8
MUN122,Town of Pictou,Another province or territory,6,2011,145,10.1,150,11.3,295,10.7
MUN123,Town of Stellarton,Another province or territory,6,2011,124,6.4,84,5,213,5.9
MUN124,Town of Trenton,Another province or territory,6,2011,19,1.7,101,10.2,125,5.9
MUN125,Town of Westville,Another province or territory,6,2011,50,2.9,135,9.4,190,6
MUN126,County of Pictou,Another province or territory,6,2011,534,5.8,679,7.4,"1,223",6.6
MUN13,Town of Shelburne,Another province or territory,6,2011,72,9.2,106,15.3,178,12
MUN132,Town of Mulgrave,Another province or territory,6,2011,0,0,0,0,50,8.3
MUN133,District of Guysborough,Another province or territory,6,2011,65,3.5,95,4.9,155,4.1
MUN134,District of St. Mary's,Another province or territory,6,2011,70,7,70,7.4,135,6.9
MUN14,District of Barrington,Another province or territory,6,2011,90,3,125,4.2,215,3.6
MUN141,Town of Antigonish,Another province or territory,6,2011,190,9.3,190,11.7,385,10.5
MUN142,County of Antigonish,Another province or territory,6,2011,515,8.1,525,8.6,"1,045",8.4
MUN15,District of Shelburne,Another province or territory,6,2011,193,10,134,7.2,332,8.7
MUN151,Town of Port Hawkesbury,Another province or territory,6,2011,150,10.1,140,10.8,290,10.4
MUN152,County of Inverness,Another province or territory,6,2011,290,4.8,435,7.4,730,6.1
MUN161,County of Richmond,Another province or territory,6,2011,150,3.7,260,6.7,415,5.2
mun171,Cape Breton Regional Municipality,Another province or territory,6,2011,0,0,0,0,0,0
MUN181,County of Victoria,Another province or territory,6,2011,180,6,265,9.1,445,7.5
MUN21,Town of Yarmouth,Another province or territory,6,2011,190,6.1,260,10.8,455,8.3
MUN22,District of Argyle,Another province or territory,6,2011,135,3.8,140,4.1,280,4
MUN23,District of Yarmouth,Another province or territory,6,2011,380,8.6,315,7.6,690,8.1
